title,company,location,description,technologies,frameworks,certifications,salary_range,date_posted,recruiter,url
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-fortil-3872588438?position=1&pageNum=0&refId=RQP%2FeJjUFalQKhQ%2FMJexWA%3D%3D&trackingId=RDSOcVzqTGKwkTjAZQ8N2A%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-leonar-4282025860?position=1&pageNum=0&refId=0DjP%2BiNDsZTaixsBR9PrnQ%3D%3D&trackingId=%2Bq28wJ2Reg8xHwshmku32w%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/ai-ml-engineer-at-leonar-4282025860?position=1&pageNum=0&refId=0ETd8PcIhRCnL0ibKOnXlQ%3D%3D&trackingId=I2iTTwr9zrlBHV%2BOJkilkQ%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/devops-h-f-at-audensiel-4280640220?position=1&pageNum=0&refId=qwDCnoHr0Xp6G6OlNOIkEQ%3D%3D&trackingId=VkPIsWGFVEotdDBhMFcERw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/backend-developer-at-sparklab-4076621749?position=1&pageNum=0&refId=oA5MEKdBZOK3j1IKtDQGBA%3D%3D&trackingId=t%2F2LASUvz1PKZydVy1d%2BYw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-python-h-f-at-objectware-4231875674?position=1&pageNum=0&refId=qQBtFebV90G6QL6bA76Iew%3D%3D&trackingId=5pEuOWcFbr%2BlIko%2Bdput%2Fw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/data-scientist-f-h-nb-at-valeuriad-4256665672?position=1&pageNum=0&refId=MHlTnwQ4aey%2FrBUMbZEIDg%3D%3D&trackingId=dYrhiqim7nFOXGvQ5jN%2BVg%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/data-scientist-h-f-nantes-at-avisia-4250257572?position=1&pageNum=0&refId=tR4PNwiaSsdVgTCczU7qyQ%3D%3D&trackingId=v49T2oS4fOQFg7ZWTWzCGw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/cloud-engineer-devops-f-h-nantes-at-sfeir-4270599756?position=1&pageNum=0&refId=uzofGLZ5MIcHGzx545KvGQ%3D%3D&trackingId=1SxE4yzV6MYJElQwgXMmEw%3D%3D
,,,,[],[],[],,2025-08-12,,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-javascript-h-f-at-amiltone-4282148511?position=1&pageNum=0&refId=jz%2Bty5ZZvgss3MHJ5rfTEQ%3D%3D&trackingId=DkYMSGKlYjikO3%2BMjIp%2BrA%3D%3D
